Saved checkpoint_20250717_004329.pt (29.3 min) 29.297774442036946
(jessi) bgn1005:~ $ python nhr_new998_noseed_newpathsplit.py 
Whole model          : 32,510
{'runid': '20250717_004403', 'num_nbrs': 100, 'num_nbrs_egnn': 11, 'learning_rate': [0.005], 'dataset': ('1000inputs/*.npz', 20, 960), 'epochs': 200, 'dim': 12, 'depth': 2, 'basis': 8, 'hidden_dim': 4, 'num_heads': 20, 'dropout': [0.03, 0.03], 'rbf cutoff': 20.0, 'loss': L1Loss(), 'params': 32510}
Epoch   0 | train L1 = 1.1418
              |  val L1 = 1.1381
Epoch   1 | train L1 = 1.0318
              |  val L1 = 1.0341
Epoch   2 | train L1 = 0.9516
              |  val L1 = 1.0310
Epoch   3 | train L1 = 0.9211
              |  val L1 = 0.9906
Epoch   4 | train L1 = 0.9103
              |  val L1 = 0.9474
Epoch   5 | train L1 = 0.8636
              |  val L1 = 0.9127
Epoch   6 | train L1 = 0.8311
              |  val L1 = 0.8963
Epoch   7 | train L1 = 0.8107
              |  val L1 = 0.8895
Epoch   8 | train L1 = 0.8260
              |  val L1 = 0.8670
Epoch   9 | train L1 = 0.8180
              |  val L1 = 0.8849
Epoch  10 | train L1 = 0.8035
              |  val L1 = 0.8779
Epoch  11 | train L1 = 0.7899
              |  val L1 = 0.8596
Epoch  12 | train L1 = 0.7982
              |  val L1 = 0.8714
Epoch  13 | train L1 = 0.7958
              |  val L1 = 0.8668
Epoch  14 | train L1 = 0.7767
              |  val L1 = 0.8525
Epoch  15 | train L1 = 0.7632
              |  val L1 = 0.8592
Epoch  16 | train L1 = 0.7546
              |  val L1 = 0.8494
Epoch  17 | train L1 = 0.7662
              |  val L1 = 0.8551
Epoch  18 | train L1 = 0.7624
              |  val L1 = 0.8678
Epoch  19 | train L1 = 0.7698
              |  val L1 = 0.8509
Epoch  20 | train L1 = 0.7661
              |  val L1 = 0.8571
Epoch  21 | train L1 = 0.7662
              |  val L1 = 0.8470
Epoch  22 | train L1 = 0.7628
              |  val L1 = 0.8446
Epoch  23 | train L1 = 0.7442
              |  val L1 = 0.8416
Epoch  24 | train L1 = 0.7584
              |  val L1 = 0.8410
Epoch  25 | train L1 = 0.7495
              |  val L1 = 0.8515
Epoch  26 | train L1 = 0.7418
              |  val L1 = 0.8409
Epoch  27 | train L1 = 0.7415
              |  val L1 = 0.8404
Epoch  28 | train L1 = 0.7474
              |  val L1 = 0.8342
Epoch  29 | train L1 = 0.7303
              |  val L1 = 0.8314
Epoch  30 | train L1 = 0.7332
              |  val L1 = 0.8343
Epoch  31 | train L1 = 0.7371
              |  val L1 = 0.8431
Epoch  32 | train L1 = 0.7267
              |  val L1 = 0.8341
Epoch  33 | train L1 = 0.7153
              |  val L1 = 0.8307
Epoch  34 | train L1 = 0.7182
              |  val L1 = 0.8449
Epoch  35 | train L1 = 0.7148
              |  val L1 = 0.8153
Epoch  36 | train L1 = 0.7068
              |  val L1 = 0.8401
Epoch  37 | train L1 = 0.7038
              |  val L1 = 0.8092
Epoch  38 | train L1 = 0.7079
              |  val L1 = 0.8248
Epoch  39 | train L1 = 0.7049
              |  val L1 = 0.8044
Epoch  40 | train L1 = 0.6880
              |  val L1 = 0.7618
Epoch  41 | train L1 = 0.6587
              |  val L1 = 0.7682
Epoch  42 | train L1 = 0.6671
              |  val L1 = 0.7522
Epoch  43 | train L1 = 0.6274
              |  val L1 = 0.7505
Epoch  44 | train L1 = 0.6061
              |  val L1 = 0.7322
Epoch  45 | train L1 = 0.6161
              |  val L1 = 0.7282
Epoch  46 | train L1 = 0.5947
              |  val L1 = 0.7196
Epoch  47 | train L1 = 0.5885
              |  val L1 = 0.7387
Epoch  48 | train L1 = 0.5714
              |  val L1 = 0.7065
Epoch  49 | train L1 = 0.5628
              |  val L1 = 0.7036
Epoch  50 | train L1 = 0.5440
              |  val L1 = 0.7110
Epoch  51 | train L1 = 0.5329
              |  val L1 = 0.7185
Epoch  52 | train L1 = 0.5653
              |  val L1 = 0.7299
Epoch  53 | train L1 = 0.5520
              |  val L1 = 0.7316
Epoch  54 | train L1 = 0.5444
              |  val L1 = 0.7007
Epoch  55 | train L1 = 0.5196
              |  val L1 = 0.6924
Epoch  56 | train L1 = 0.4883
              |  val L1 = 0.7105
Epoch  57 | train L1 = 0.4901
              |  val L1 = 0.6930
Epoch  58 | train L1 = 0.4915
