
(jessi) bgn1003:~ $ python3 nhr.py
Epoch   0 | train L1 = 1.1895
              |  val L1 = 1.0805
Epoch   1 | train L1 = 1.1028
              |  val L1 = 1.1269
Epoch   2 | train L1 = 1.0980
              |  val L1 = 1.0794
Epoch   3 | train L1 = 1.0881
              |  val L1 = 1.0584
Epoch   4 | train L1 = 1.0796
              |  val L1 = 1.0588
Epoch   5 | train L1 = 1.0590
              |  val L1 = 1.0058
Epoch   6 | train L1 = 1.0228
              |  val L1 = 0.9536
Epoch   7 | train L1 = 1.0297
              |  val L1 = 0.9815
Epoch   8 | train L1 = 1.0165
              |  val L1 = 0.9879
Epoch   9 | train L1 = 1.0153
              |  val L1 = 0.9883
Epoch  10 | train L1 = 1.0160
              |  val L1 = 1.0279
Epoch  11 | train L1 = 1.0104
              |  val L1 = 0.9710
Epoch  12 | train L1 = 0.9899
              |  val L1 = 0.9506
Epoch  13 | train L1 = 0.9864
              |  val L1 = 0.9464
Epoch  14 | train L1 = 0.9883
              |  val L1 = 0.9401
Epoch  15 | train L1 = 1.0178
              |  val L1 = 0.9662
Epoch  16 | train L1 = 1.0067
              |  val L1 = 0.9697
Epoch  17 | train L1 = 1.0123
              |  val L1 = 0.9806
Epoch  18 | train L1 = 1.0395
              |  val L1 = 0.9760
Epoch  19 | train L1 = 1.0790
              |  val L1 = 1.0579
Epoch  20 | train L1 = 1.0791
              |  val L1 = 1.0621
Saved checkpoint_20250713_220059.pt (0.1 min) 0.1128401517868042
(jessi) bgn1003:~ $ python3 nhr.py
Epoch   0 | train L1 = 1.1545
              |  val L1 = 1.1519
Epoch   1 | train L1 = 1.0801
              |  val L1 = 1.2434
Epoch   2 | train L1 = 1.1472
              |  val L1 = 1.2264
Epoch   3 | train L1 = 1.1424
              |  val L1 = 1.2110
Epoch   4 | train L1 = 1.1344
              |  val L1 = 1.2034
Epoch   5 | train L1 = 1.1275
              |  val L1 = 1.1928
Epoch   6 | train L1 = 1.1073
              |  val L1 = 1.1726
Epoch   7 | train L1 = 1.0956
              |  val L1 = 1.1495
Epoch   8 | train L1 = 1.0911
              |  val L1 = 1.1495
Epoch   9 | train L1 = 1.0860
              |  val L1 = 1.1415
Epoch  10 | train L1 = 1.0850
              |  val L1 = 1.1463
Epoch  11 | train L1 = 1.0786
              |  val L1 = 1.1454
Epoch  12 | train L1 = 1.0817
              |  val L1 = 1.1423
Epoch  13 | train L1 = 1.0814
              |  val L1 = 1.1430
Epoch  14 | train L1 = 1.0786
              |  val L1 = 1.1433
Epoch  15 | train L1 = 1.0782
              |  val L1 = 1.1373
Epoch  16 | train L1 = 1.0807
              |  val L1 = 1.1401
Epoch  17 | train L1 = 1.0769
              |  val L1 = 1.1370
Epoch  18 | train L1 = 1.0737
              |  val L1 = 1.1357
Epoch  19 | train L1 = 1.0740
              |  val L1 = 1.1353
Epoch  20 | train L1 = 1.0705
              |  val L1 = 1.1489
Saved checkpoint_20250713_220233.pt (0.4 min) 0.44354023138682047
(jessi) bgn1003:~ $ python3 nhr.py
Epoch   0 | train L1 = 1.1779
              |  val L1 = 1.2261
Epoch   1 | train L1 = 1.1198
              |  val L1 = 1.0868
Epoch   2 | train L1 = 1.0368
              |  val L1 = 1.0607
Epoch   3 | train L1 = 1.0369
              |  val L1 = 1.0636
Epoch   4 | train L1 = 1.0322
              |  val L1 = 1.0616
Epoch   5 | train L1 = 1.0264
              |  val L1 = 1.0496
Epoch   6 | train L1 = 1.0302
              |  val L1 = 1.0604
Epoch   7 | train L1 = 1.0235
              |  val L1 = 1.0493
Epoch   8 | train L1 = 1.0214
              |  val L1 = 1.0567
Epoch   9 | train L1 = 1.0170
              |  val L1 = 1.0456
Epoch  10 | train L1 = 1.0111
              |  val L1 = 1.0362
Epoch  11 | train L1 = 1.0056
              |  val L1 = 1.0424
Epoch  12 | train L1 = 0.9968
              |  val L1 = 1.0271
Epoch  13 | train L1 = 0.9983
              |  val L1 = 1.0509
Epoch  14 | train L1 = 0.9865
              |  val L1 = 1.0246
Epoch  15 | train L1 = 0.9796
              |  val L1 = 1.0189
Epoch  16 | train L1 = 0.9777
              |  val L1 = 1.0107
Epoch  17 | train L1 = 0.9719
              |  val L1 = 1.0056
Epoch  18 | train L1 = 0.9900
