jrhoernschemeyer@localhost:~> ssh becjessi@blogin.nhr.zib.de
Last login: Mon Jul 21 13:20:11 2025 from 62.144.229.184

********************************************************************************
*                                                                              *
*               Welcome to NHR@ZIB system "Lise" on node blogin4               *
*               (Rocky Linux 9.5, Environment Modules 5.4.0)                   *
*                                                                              *
*  Manual   ->  https://user.nhr.zib.de                                        *
*  Support  ->  mailto:support@nhr.zib.de                                      *
*                                                                              *
********************************************************************************

Module NHRZIBenv loaded.
Module sw.clx.el9 loaded.
Module slurm (current version 24.11.5) loaded.
blogin4:~ $ salloc -p gpu-a100:shared -n1 -c4 --gres=gpu:1 --time=6:00:00
salloc: Pending job allocation 8673196
salloc: job 8673196 queued and waiting for resources
salloc: job 8673196 has been allocated resources
salloc: Granted job allocation 8673196
salloc: Nodes bgn1004 are ready for job
blogin4:~ $ python nhr_new998.py 
^CTraceback (most recent call last):
  File "/home/becjessi/nhr_new998.py", line 337, in <module>
    val_ds   = InMemoryHoodDataset(val_paths)
  File "/home/becjessi/nhr_new998.py", line 264, in __init__
    idx = nbrs.kneighbors(sites, return_distance=False)   # (S, N_NEIGHBORS)
  File "/home/becjessi/.local/lib/python3.9/site-packages/sklearn/neighbors/_base.py", line 869, in kneighbors
    results = ArgKmin.compute(
  File "/home/becjessi/.local/lib/python3.9/site-packages/sklearn/metrics/_pairwise_distances_reduction/_dispatcher.py", line 293, in compute
    return ArgKmin32.compute(
  File "sklearn/metrics/_pairwise_distances_reduction/_argkmin.pyx", line 550, in sklearn.metrics._pairwise_distances_reduction._argkmin.ArgKmin32.compute
  File "/home/becjessi/.local/lib/python3.9/site-packages/threadpoolctl.py", line 592, in __exit__
    def __exit__(self, type, value, traceback):
KeyboardInterrupt

blogin4:~ $ module load anaconda3
Module for Anaconda 2023.09 (Python 3.9.20) loaded.
blogin4:~ $ conda activate jessi
(jessi) blogin4:~ $ python nhr_new998-H.py 
Whole model          : 9,860
{'runid': '20250721_174829', 'num_nbrs': 100, 'num_nbrs_egnn': 11, 'learning_rate': [0.005], 'dataset': ('Hinputs/*.npz', 749, 300), 'epochs': 200, 'dim': 3, 'depth': 2, 'basis': 3, 'hidden_dim': 2, 'num_heads': 6, 'dropout': [0.03, 0.03], 'rbf cutoff': 20.0, 'loss': L1Loss(), 'params': 9860}
^CTraceback (most recent call last):
  File "/home/becjessi/nhr_new998-H.py", line 475, in <module>
    loss.backward(); optimizer.step()
  File "/home/becjessi/.conda/envs/jessi/lib/python3.10/site-packages/torch/_tensor.py", line 487, in backward
    torch.autograd.backward(
  File "/home/becjessi/.conda/envs/jessi/lib/python3.10/site-packages/torch/autograd/__init__.py", line 200, in backward
    Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
KeyboardInterrupt

(jessi) blogin4:~ $ ssh bgn1004
Last login: Mon Jul 21 17:48:41 2025 from blogin4.usr.hlrn.de

********************************************************************************
*                                                                              *
*               Welcome to NHR@ZIB system "Lise" on node bgn1004               *
*               (Rocky Linux 8.10, Environment Modules 5.4.0)                  *
*                                                                              *
*  Manual   ->  https://user.nhr.zib.de                                        *
*  Support  ->  mailto:support@nhr.zib.de                                      *
*                                                                              *
********************************************************************************

Module NHRZIBenv loaded.
Module sw.a100 loaded.
Module slurm (current version 24.11.5) loaded.
bgn1004:~ $ module load anaconda3
Module for Anaconda 2023.09 (Python 3.9.20) loaded.
bgn1004:~ $ conda activate jessi
(jessi) bgn1004:~ $ python nhr_new998-H.py 
Whole model          : 9,860
{'runid': '20250721_175135', 'num_nbrs': 100, 'num_nbrs_egnn': 11, 'learning_rate': [0.005], 'dataset': ('Hinputs/*.npz', 749, 300), 'epochs': 200, 'dim': 3, 'depth': 2, 'basis': 3, 'hidden_dim': 2, 'num_heads': 6, 'dropout': [0.03, 0.03], 'rbf cutoff': 20.0, 'loss': L1Loss(), 'params': 9860}
Epoch   0 | train L1 = 0.9329
              |  val L1 = 0.8016
Epoch   1 | train L1 = 0.8084
              |  val L1 = 0.7808
Epoch   2 | train L1 = 0.7547
              |  val L1 = 0.7436
Epoch   3 | train L1 = 0.7052
              |  val L1 = 0.6720
Epoch   4 | train L1 = 0.6883
              |  val L1 = 0.6515
Epoch   5 | train L1 = 0.6839
              |  val L1 = 0.6702
Epoch   6 | train L1 = 0.6708
              |  val L1 = 0.6784
Epoch   7 | train L1 = 0.6630
              |  val L1 = 0.6406
Epoch   8 | train L1 = 0.6611
              |  val L1 = 0.6746
Epoch   9 | train L1 = 0.6559
              |  val L1 = 0.6254
Epoch  10 | train L1 = 0.6553
              |  val L1 = 0.6256
Epoch  11 | train L1 = 0.6478
              |  val L1 = 0.6398
Epoch  12 | train L1 = 0.6447
              |  val L1 = 0.6220
Epoch  13 | train L1 = 0.6403
              |  val L1 = 0.6077
Epoch  14 | train L1 = 0.6371
              |  val L1 = 0.6080
Epoch  15 | train L1 = 0.6360
              |  val L1 = 0.6004
Epoch  16 | train L1 = 0.6629
              |  val L1 = 0.6003
Epoch  17 | train L1 = 0.6318
              |  val L1 = 0.6011
Epoch  18 | train L1 = 0.6245
              |  val L1 = 0.6242
Epoch  19 | train L1 = 0.6254
              |  val L1 = 0.6444
Epoch  20 | train L1 = 0.6181
              |  val L1 = 0.6082
Epoch  21 | train L1 = 0.6175
              |  val L1 = 0.5912
Epoch  22 | train L1 = 0.6178
              |  val L1 = 0.6160
Epoch  23 | train L1 = 0.6113
              |  val L1 = 0.5829
Epoch  24 | train L1 = 0.6084
              |  val L1 = 0.5823
Epoch  25 | train L1 = 0.6093
              |  val L1 = 0.6023
Epoch  26 | train L1 = 0.6056
              |  val L1 = 0.5808
Epoch  27 | train L1 = 0.6071
              |  val L1 = 0.5669
Epoch  28 | train L1 = 0.6043
              |  val L1 = 0.5819
Epoch  29 | train L1 = 0.6031
              |  val L1 = 0.5736
Epoch  30 | train L1 = 0.6009
              |  val L1 = 0.5737
Epoch  31 | train L1 = 0.6017
              |  val L1 = 0.5724
Epoch  32 | train L1 = 0.6001
              |  val L1 = 0.6120
Epoch  33 | train L1 = 0.5994
              |  val L1 = 0.5685
Epoch  34 | train L1 = 0.8102
              |  val L1 = 0.5812
Epoch  35 | train L1 = 0.6028
              |  val L1 = 0.5843
Epoch  36 | train L1 = 0.5966
              |  val L1 = 0.5832
Epoch  37 | train L1 = 0.5980
              |  val L1 = 0.5714
Epoch  38 | train L1 = 0.5984
              |  val L1 = 0.5711
Epoch  39 | train L1 = 0.5935
              |  val L1 = 0.5672
Epoch  40 | train L1 = 0.5947
              |  val L1 = 0.5627
Epoch  41 | train L1 = 0.5944
              |  val L1 = 0.5659
Epoch  42 | train L1 = 0.5935
              |  val L1 = 0.5596
Epoch  43 | train L1 = 0.5900
              |  val L1 = 0.5600
Epoch  44 | train L1 = 0.5863
              |  val L1 = 0.6060
Epoch  45 | train L1 = 0.5904
              |  val L1 = 0.5807
Epoch  46 | train L1 = 0.5901
              |  val L1 = 0.5791
Epoch  47 | train L1 = 0.5879
              |  val L1 = 0.5755
Epoch  48 | train L1 = 0.5885
              |  val L1 = 0.5629
Epoch  49 | train L1 = 0.5863
              |  val L1 = 0.5993
Epoch  50 | train L1 = 0.5850
              |  val L1 = 0.5674
Epoch  51 | train L1 = 0.5816
              |  val L1 = 0.5697
Epoch  52 | train L1 = 0.5833
              |  val L1 = 0.5738
Epoch  53 | train L1 = 0.5829
              |  val L1 = 0.5846
Epoch  54 | train L1 = 0.5819
              |  val L1 = 0.5725
Epoch  55 | train L1 = 0.5819
              |  val L1 = 0.5700
Epoch  56 | train L1 = 0.5794
              |  val L1 = 0.5608
Epoch  57 | train L1 = 0.5809
              |  val L1 = 0.5505
Epoch  58 | train L1 = 0.5780
              |  val L1 = 0.5984
Epoch  59 | train L1 = 0.5763
              |  val L1 = 0.5551
